series_animedb_id,series_title,series_type,series_episodes,my_id,my_watched_episodes,my_start_date,my_finish_date,my_rated,my_score,my_storage,my_storage_value,my_status,my_comments,my_times_watched,my_rewatch_value,my_priority,my_tags,my_rewatching,my_rewatching_ep,my_discuss,my_sns,update_on_import
38691,Dr. Stone,TV,24,0,3,0000-00-00,0000-00-00,,4,,0.00,Dropped, #isso é só um bullshit do caralho kkkkk #é só genérico e cheio de furos,0,,LOW,,0,0,1,default,0
14837,Dragon Ball Z Movie 14: Kami to Kami,Movie,1,0,1,0000-00-00,0000-00-00,,3,,0.00,Completed,,0,,LOW,,0,0,1,default,0
39026,Dumbbell Nan Kilo Moteru?,TV,12,0,12,0000-00-00,0000-00-00,,8,,0.00,Completed,,0,,LOW,,0,0,1,default,0
6746,Durarara!!,TV,24,0,24,0000-00-00,0000-00-00,,8,,0.00,Completed,,0,,LOW,,0,0,1,default,0
23199,Durarara!!x2 Shou,TV,12,0,12,0000-00-00,0000-00-00,,8,,0.00,Completed,,0,,LOW,,0,0,1,default,0
38544,Egao no Daika,TV,12,0,1,0000-00-00,0000-00-00,,2,,0.00,Dropped, #foda-se,0,,LOW,,0,0,1,default,0
39792,Eizouken ni wa Te wo Dasu na!,TV,12,0,12,0000-00-00,0000-00-00,,8,,0.00,Completed,,0,,LOW,,0,0,1,default,0
38062,Endro~!,TV,12,0,12,0000-00-00,0000-00-00,,5,,0.00,Completed,,0,,LOW,,0,0,1,default,0
38671,Enen no Shouboutai,TV,24,0,5,0000-00-00,0000-00-00,,3,,0.00,Dropped,,0,,LOW,,0,0,1,default,0
32901,Eromanga-sensei,TV,12,0,12,0000-00-00,0000-00-00,,6,,0.00,Completed,,1,,LOW,,0,0,1,default,0
28221,Etotama,TV,12,0,12,0000-00-00,0000-00-00,,7,,0.00,Completed,,0,,LOW,,0,0,1,default,0
38680,Fruits Basket 1st Season,TV,25,0,25,0000-00-00,2022-02-11,,8,,0.00,Completed,,0,,LOW,,0,0,1,default,0
121,Fullmetal Alchemist,TV,51,0,7,0000-00-00,0000-00-00,,7,,0.00,Dropped, #vi o FMAB,0,,LOW,,0,0,1,default,0
5114,Fullmetal Alchemist: Brotherhood,TV,64,0,64,0000-00-00,0000-00-00,,9,,0.00,Completed,,0,,LOW,,0,0,1,default,0
41025,Fumetsu no Anata e,TV,20,0,20,2021-06-23,0000-00-00,,9,,0.00,Completed,,0,,LOW,,0,0,1,default,0
33731,Gabriel DropOut,TV,12,0,12,0000-00-00,0000-00-00,,8,,0.00,Completed,,0,,LOW,,0,0,1,default,0
36317,Gaikotsu Shotenin Honda-san,TV,12,0,12,0000-00-00,2018-12-24,,7,,0.00,Completed,,0,,LOW,,0,0,1,default,0
2890,Gake no Ue no Ponyo,Movie,1,0,1,0000-00-00,0000-00-00,,9,,0.00,Completed,,0,,LOW,,0,0,1,default,0
24765,Gakkougurashi!,TV,12,0,12,0000-00-00,0000-00-00,,7,,0.00,Completed,,0,,LOW,,0,0,1,default,0
40358,Gal to Kyouryuu,TV,12,0,1,0000-00-00,0000-00-00,,0,,0.00,Watching,,0,,LOW,,0,0,1,default,0
23289,Gekkan Shoujo Nozaki-kun,TV,12,0,12,0000-00-00,0000-00-00,,7,,0.00,Completed,,0,,LOW,,0,0,1,default,0
1441,Ginga Tetsudou no Yoru,Movie,1,0,1,0000-00-00,0000-00-00,,9,,0.00,Completed,,0,,LOW,,0,0,1,default,0
918,Gintama,TV,201,0,131,0000-00-00,0000-00-00,,0,,0.00,Watching,,0,,LOW,,0,0,1,default,0
14131,Girls & Panzer,TV,12,0,0,0000-00-00,0000-00-00,,0,,0.00,Plan to Watch,,0,,LOW,,0,0,1,default,0
39533,Given,TV,11,0,11,0000-00-00,0000-00-00,,6,,0.00,Completed,,0,,LOW,,0,0,1,default,0
37349,Goblin Slayer,TV,12,0,6,0000-00-00,0000-00-00,,3,,0.00,Dropped, #esse anime é mt chato #é simplesmente um rpgzinho onde o cara é um tarado em goblins #é extremamente sem graça e genérico,0,,LOW,,0,0,1,default,0
21273,Gochuumon wa Usagi desu ka?,TV,12,0,5,0000-00-00,0000-00-00,,0,,0.00,Watching,,0,,LOW,,0,0,1,default,0
39417,Granbelm,TV,13,0,1,0000-00-00,0000-00-00,,3,,0.00,Dropped, #chato pra caralho #a temática de mecha n casa com a proposta,0,,LOW,,0,0,1,default,0
37154,Grimms Notes The Animation,TV,12,0,0,0000-00-00,0000-00-00,,1,,0.00,Dropped, #kkkkkkkkkkkkkkkkkkkkkk,0,,LOW,,0,0,1,default,0
39674,Gundam vs Hello Kitty,ONA,3,0,3,0000-00-00,0000-00-00,,0,,0.00,Completed,,0,,LOW,,0,0,1,default,0
3002,Gyakkyou Burai Kaiji: Ultimate Survivor,TV,26,0,13,0000-00-00,0000-00-00,,0,,0.00,Watching,,0,,LOW,,0,0,1,default,0
20583,Haikyuu!!,TV,25,0,25,0000-00-00,0000-00-00,,9,,0.00,Completed,,0,,LOW,,0,0,1,default,0
32935,Haikyuu!! Karasuno Koukou vs. Shiratorizawa Gakuen Koukou,TV,10,0,10,0000-00-00,0000-00-00,,10,,0.00,Completed,,0,,LOW,,0,0,1,default,0
40262,Haikyuu!! Riku vs. Kuu,OVA,2,0,2,0000-00-00,0000-00-00,,6,,0.00,Completed,,0,,LOW,,0,0,1,default,0
28891,Haikyuu!! Second Season,TV,25,0,25,0000-00-00,0000-00-00,,9,,0.00,Completed,,0,,LOW,,0,0,1,default,0
38883,Haikyuu!! To the Top,TV,13,0,13,0000-00-00,0000-00-00,,8,,0.00,Completed,,0,,LOW,,0,0,1,default,0
40776,Haikyuu!! To the Top Part 2,TV,12,0,12,0000-00-00,0000-00-00,,8,,0.00,Completed,,0,,LOW,,0,0,1,default,0
21855,Hanamonogatari,TV,5,0,5,0000-00-00,0000-00-00,,9,,0.00,Completed,,0,,LOW,,0,0,1,default,0
42940,Hanma Baki: Son of Ogre,ONA,12,0,12,0000-00-00,2021-10-07,,9,,0.00,Completed,,0,,LOW,,0,0,1,default,0
37141,Hataraku Saibou,TV,13,0,13,0000-00-00,2018-09-29,,8,,0.00,Completed,,0,,LOW,,0,0,1,default,0
41694,Hataraku Saibou Black,TV,13,0,1,2021-01-20,0000-00-00,,0,,0.00,Watching,,0,,LOW,,0,0,1,default,0
49738,Heike Monogatari,TV,11,0,2,2021-10-20,0000-00-00,,0,,0.00,Watching,,0,,LOW,,0,0,1,default,0
5060,Hetalia Axis Powers,ONA,52,0,0,0000-00-00,0000-00-00,,0,,0.00,Plan to Watch,,0,,LOW,,0,0,1,default,0
11617,High School DxD,TV,12,0,10,0000-00-00,0000-00-00,,1,,0.00,Watching, #peitos #peitos e peitos,0,,LOW,,0,0,1,default,0
21877,High Score Girl,TV,12,0,12,0000-00-00,0000-00-00,,8,,0.00,Completed,,0,,LOW,,0,0,1,default,0
39570,High Score Girl II,TV,9,0,2,0000-00-00,0000-00-00,,0,,0.00,Watching,,0,,LOW,,0,0,1,default,0
38422,High Score Girl: Extra Stage,OVA,3,0,3,0000-00-00,0000-00-00,,8,,0.00,Completed,,0,,LOW,,0,0,1,default,0
28825,Himouto! Umaru-chan,TV,12,0,12,0000-00-00,0000-00-00,,8,,0.00,Completed,,0,,LOW,,0,0,1,default,0
35376,Himouto! Umaru-chan R,TV,12,0,12,0000-00-00,0000-00-00,,8,,0.00,Completed,,0,,LOW,,0,0,1,default,0
37614,Hitoribocchi no Marumaru Seikatsu,TV,12,0,12,0000-00-00,0000-00-00,,7,,0.00,Completed,,0,,LOW,,0,0,1,default,0
10408,Hotarubi no Mori e,Movie,1,0,1,0000-00-00,0000-00-00,,7,,0.00,Completed,,0,,LOW,,0,0,1,default,0
